Url,Pays,Etat,Province,Ville,Nom,Adresse,Postal,Téléphone,Email,Site,GPS
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-weikersdorf-am-steinfelde-i105244/,Autriche,Basse-Autriche,Politischer bezirk wiener neustadt,Weikersdorf am steinfelde,gemeindeamt weikersdorf am steinfelde,"hauptpl. 115, 2722 weikersdorf am steinfelde, austria",2722,02638 22226,Information non disponible,http://www.weikersdorf.at/,"47.80564, 16.14307"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-bad-sauerbrunn-i105598/,Autriche,Burgenland,Politischer bezirk mattersburg,Neudörfl,gemeindeamt bad sauerbrunn,"wr. neustädterstraße 2, 7202 bad sauerbrunn, austria",7202,02625 322030,Information non disponible,http://www.bad-sauerbrunn.at/,"47.77531, 16.32516"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-marktgemeinde-lichtenworth-i105194/,Autriche,Basse-Autriche,Politischer bezirk wiener neustadt,Lichtenwörth,gemeindeamt marktgemeinde lichtenwörth,"hauptstraße 1, 2493 lichtenwörth, austria",2493,Information non disponible,Information non disponible,http://www.lichtenwoerth.at/,"47.83532, 16.29197"
https://fre.cityhallworldwide.com/mairie-en-autriche/polgarmesteri-hivatal-harka-i105517/,Autriche,Burgenland,Politischer bezirk oberpullendorf,Deutschkreutz,polgármesteri hivatal harka,"harka, nyéki utca 34., 9422 hungary",9422,(99) 506 795,Information non disponible,http://harka.hu/index.php?option=com_content&task=view&id=30&itemid=45,"47.63329, 16.60076"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeinde-krensdorf-i105580/,Autriche,Burgenland,Politischer bezirk mattersburg,Krensdorf,gemeinde krensdorf,"hauptpl. 1, 7031 krensdorf, austria",7031,02626 71261,Information non disponible,http://www.krensdorf.at/,"47.78442, 16.4154"
https://fre.cityhallworldwide.com/mairie-en-autriche/winden-am-see-gemeindeamt-i105217/,Autriche,Burgenland,Politischer bezirk neusiedl am see,Winden am see,"winden am see, gemeindeamt","hauptstraße 8, 7092 winden am see, austria",7092,02160 8275,Information non disponible,http://winden-am-see-gemeindeamt.business.site/,"47.9516, 16.75282"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeinde-hof-am-leithaberge-i105542/,Autriche,Basse-Autriche,Politischer bezirk bruck an der leitha,Hof am leithaberge,marktgemeinde hof am leithaberge,"hauptpl. 8, 2451 hof am leithaberge, austria",2451,02168 62393,Information non disponible,http://www.hof-leithaberge.gv.at/,"47.94376, 16.57878"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeinde-loretto-i105320/,Autriche,Burgenland,Politischer bezirk eisenstadt,Loretto,gemeinde loretto,"hauptpl. 9, 2443 loretto, austria",2443,Information non disponible,Information non disponible,Information non disponible,"47.91585, 16.51644"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-zemendorf-stottera-i105203/,Autriche,Burgenland,Politischer bezirk mattersburg,Pöttelsdorf,gemeindeamt zemendorf-stöttera,"hauptstraße 49, 7023 zemendorf, austria",7023,02626 5242,Information non disponible,Information non disponible,"47.76124, 16.45073"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-mullendorf-i105617/,Autriche,Burgenland,Politischer bezirk eisenstadt,Müllendorf,gemeindeamt müllendorf,"kapellenpl. 1, 7052 müllendorf, austria",7052,Information non disponible,Information non disponible,Information non disponible,"47.83792, 16.46184"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeindeamt-grohoflein-i105205/,Autriche,Burgenland,Politischer bezirk eisenstadt,Müllendorf,gemeindeamt großhöflein,"hauptstraße 37, 7051 großhöflein, austria",7051,02682 62733,Information non disponible,http://www.grosshoeflein.at/,"47.83342, 16.48158"
https://fre.cityhallworldwide.com/mairie-en-autriche/stadtgemeinde-eisenstadt-i105291/,Autriche,Burgenland,Burgenland (Province),Eisenstadt,stadtgemeinde eisenstadt,"bad kissingen-platz 1, 7000 eisenstadt, austria",7000,02682 4591,Information non disponible,Information non disponible,"47.84669, 16.53468"
https://fre.cityhallworldwide.com/mairie-en-autriche/auenstelle-gundersheim---marktgemeinde-kirchbach-i105703/,Autriche,Carinthie,Politischer bezirk hermagor,Dellach,außenstelle gundersheim - marktgemeinde kirchbach,"gundersheim 68, 9634 gundersheim, austria",9634,Information non disponible,Information non disponible,Information non disponible,"46.65087, 13.11554"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeinde-grafenstein-i105473/,Autriche,Carinthie,Politischer bezirk klagenfurt land,Grafenstein,marktgemeinde grafenstein,"hauptstraße 49, 9131 grafenstein, austria",9131,04225 22200,Information non disponible,http://www.grafenstein.gv.at/,"46.61717, 14.46573"
https://fre.cityhallworldwide.com/mairie-en-autriche/gemeinde-maria-worth-i105546/,Autriche,Carinthie,Politischer bezirk klagenfurt land,Keutschach am see,gemeinde maria wörth,"wörthersee-süduferstraße 115, 9081 reifnitz, austria",9081,04273 20500,Information non disponible,https://www.maria-woerth.info/,"46.60641, 14.18257"
https://fre.cityhallworldwide.com/mairie-en-autriche/hallegg-i105693/,Autriche,Carinthie,Politischer bezirk klagenfurt land,Moosburg,hallegg,"9061 hallegg, austria",9061,Information non disponible,Information non disponible,Information non disponible,"46.64827, 14.24053"
https://fre.cityhallworldwide.com/mairie-en-autriche/community-maria-worth-i127599/,Autriche,Carinthie,Politischer bezirk klagenfurt land,Keutschach am see,community maria wörth,"wörthersee-süduferstraße 115, 9081 reifnitz, austria",9081,04273 20500,Information non disponible,https://www.maria-woerth.info/,"46.60641, 14.18257"
https://fre.cityhallworldwide.com/mairie-en-autriche/marktgemeinde-gurk-i105649/,Autriche,Carinthie,Politischer bezirk sankt veit an der glan,Gurk,marktgemeinde gurk,"doktor-schnerich-straße 12, 9342 gurk, austria",9342,04266 8125,Information non disponible,http://www.gurk.at/,"46.87442, 14.28959"
https://fre.cityhallworldwide.com/mairie-en-autriche/stadtgemeinde-friesach-i105669/,Autriche,Carinthie,Politischer bezirk sankt veit an der glan,Friesach,stadtgemeinde friesach,"fürstenhofpl. 1, 9360 friesach, austria",9360,Information non disponible,Information non disponible,Information non disponible,"46.95109, 14.40654"
